Coal and lignite production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,4699,4528,4479,4362,4441,4598,4661,4658,4593,4532,4664,4888,4941,5291,5681,6030,6351,6570,6756,6858,7228,7661,7823,7870,7834,-0.5,3.8
OECD,2309,2192,2126,2018,2061,2068,2092,2116,2103,2064,2040,2118,2084,2053,2101,2138,2167,2169,2174,2074,2088,2094,2050,2039,2067,1.4,0.1
G7,1552,1444,1389,1300,1342,1333,1347,1356,1352,1320,1284,1336,1303,1273,1322,1332,1354,1345,1357,1255,1266,1281,1213,1188,1193,0.4,-0.5
BRICS,1821,1807,1831,1856,1933,2090,2142,2113,2060,2055,2163,2277,2365,2701,3003,3273,3474,3669,3824,3994,4293,4582,4758,4784,4757,-0.6,5.8
Europe,1210,1090,1027,963,910,910,901,880,819,778,778,789,783,782,768,758,759,761,749,723,705,740,732,695,688,-1.0,-0.9
European Union,1088,978,914,857,813,805,795,764,692,663,657,667,666,667,655,639,631,620,599,574,564,590,592,558,538,-3.7,-1.4
Belgium,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Czech Rep.,101,97,87,85,77,75,77,74,68,59,65,66,63,64,64,62,63,63,60,56,55,58,56,49,47,-4.3,-2.3
France,14,13,12,11,10,10,9,7,6,6,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,-4.2,-17.0
Germany,434,353,314,287,265,252,241,229,212,205,205,206,211,208,211,206,200,205,194,185,184,189,197,192,188,-2.5,-0.6
Italy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.3
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Poland,215,210,198,199,201,201,202,201,179,171,163,164,162,164,162,160,156,146,144,135,133,139,144,143,137,-4.0,-1.2
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Romania,38,32,38,40,41,41,42,34,26,23,29,33,30,33,32,31,35,36,36,34,31,36,34,25,24,-4.7,-1.4
Spain,36,34,33,32,30,28,27,26,26,24,23,23,22,21,20,19,18,17,10,9,8,7,6,4,4,-16.1,-12.4
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-26.2,-1.2
United Kingdom,93,95,84,68,50,53,50,48,41,37,31,32,30,28,25,20,19,17,18,18,18,19,17,13,12,-9.4,-6.8
Norway,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,2,4,3,3,2,1,1,2,2,-9.7,7.2
Turkey,47,46,51,49,54,55,56,60,67,67,63,62,54,49,46,58,64,75,79,79,73,76,71,66,77,17.2,1.4
CIS,683,619,589,519,460,419,386,371,357,368,388,397,381,412,413,439,451,454,488,445,499,518,554,545,533,-2.3,2.3
Kazakhstan,131,130,127,112,105,84,78,73,71,60,77,79,74,85,87,87,97,98,111,101,111,116,121,120,114,-4.8,2.8
Russia,377,338,324,289,257,250,244,232,220,238,242,251,240,258,260,285,286,290,306,277,323,323,357,348,355,2.1,2.8
Ukraine,159,135,126,109,89,78,58,59,60,63,63,62,62,65,60,61,62,59,65,60,58,70,68,66,52,-22.3,-1.4
Uzbekistan,6,7,6,5,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,6,6,2.2,6.0
America,1040,1011,1008,964,1053,1058,1091,1123,1148,1125,1106,1161,1123,1107,1162,1188,1225,1217,1242,1146,1160,1183,1112,1097,1113,1.4,0.0
North America,1002,975,971,927,1010,1012,1041,1067,1089,1069,1041,1092,1059,1034,1085,1104,1134,1122,1145,1052,1064,1073,999,982,993,1.1,-0.3
Canada,68,71,66,69,73,75,76,79,75,72,69,70,67,62,66,66,66,69,69,65,68,67,66,69,69,0.2,0.0
United States,934,904,905,858,938,937,965,989,1014,996,972,1021,993,972,1019,1039,1068,1053,1076,988,996,1006,932,913,924,1.2,-0.4
Latin America,38,36,37,38,43,46,50,55,59,57,65,70,64,72,77,84,91,95,97,93,96,110,113,115,120,4.1,4.5
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,-7.4
Brazil,5,5,5,5,5,5,5,6,6,6,7,6,5,5,5,6,6,6,7,6,5,6,7,9,9,7.1,2.2
Chile,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,4,48.8,19.3
Colombia,21,20,22,21,23,26,30,33,34,33,38,44,40,50,54,59,66,70,74,73,74,86,89,85,89,3.7,6.2
Mexico,7,6,6,7,9,9,10,10,11,10,11,11,11,10,10,11,11,13,11,11,13,16,15,15,15,-3.3,1.9
Venezuela,2,2,2,4,4,4,4,5,7,7,8,8,7,7,7,7,7,6,5,3,3,2,1,3,3,0.0,-7.7
Asia,1376,1399,1441,1488,1586,1752,1818,1790,1747,1735,1850,1976,2082,2397,2734,3017,3284,3488,3622,3877,4173,4554,4719,4799,4737,-1.3,6.9
China,1040,1041,1073,1112,1203,1339,1379,1336,1296,1264,1354,1448,1536,1813,2084,2300,2476,2634,2734,2895,3140,3419,3532,3561,3474,-2.4,7.0
India,225,245,255,262,272,290,308,319,316,324,336,350,364,386,410,437,462,491,525,566,570,582,604,611,654,7.0,4.9
Indonesia,10,13,22,28,31,42,50,55,61,74,79,94,102,117,144,171,233,249,249,291,325,405,444,489,472,-3.4,13.6
Japan,8,8,8,7,7,6,6,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Malaysia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,3,3,3,3,0.0,15.7
South Korea,17,15,12,9,7,6,5,5,4,4,8,8,3,3,3,3,3,3,3,3,2,2,2,2,2,-3.8,-10.5
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Thailand,12,15,15,16,17,18,21,23,20,18,18,20,20,19,20,21,19,18,18,18,18,21,18,18,17,-0.7,-0.1
Pacific,207,222,231,229,228,245,251,268,290,295,310,333,344,347,355,376,380,396,397,412,430,407,436,464,484,4.4,3.2
Australia,205,220,228,226,225,242,247,264,287,291,307,329,340,342,350,371,375,391,392,408,424,402,431,459,480,4.6,3.3
New Zealand,3,3,3,3,3,4,4,4,3,4,3,4,4,5,5,5,6,5,5,5,5,5,5,5,4,-13.9,1.0
Africa,182,186,183,196,203,213,213,226,229,230,231,230,227,244,248,250,250,252,256,253,259,258,269,268,278,3.5,1.3
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.9
South Africa,175,178,174,188,196,206,206,220,223,224,224,224,220,239,243,245,245,248,252,249,255,253,259,256,265,3.6,1.2
Middle-East,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,9.4,0.6
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,12.6,1.0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,
